,text,Sentiment,Emotion,sales,earnings,op_costs,products_services,organic_expansion,acquisitions,competition,op_risks,debt,not_applicable,NIL,Negative,Neutral,Positive,Confident,Dodgy,NIL,Uncertain
114,"So on your last question, I'd invite you – either Judy will let you come to the Investor Day or you can certainly dial in, we're going to have a lot to say about our vapor business on Investment Day, and we've got exciting plans there",1-Neutral,0-Confident,0.042,0.048,0.019,0.017,0.705,0.025,0.018,0.014,0.013,0.022,0.078,0.035,0.718,0.247,0.454,0.021,0.277,0.249
115,"Look, the category has picked back up, as you say",1-Neutral,2-NIL,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.984,0.011,0.005,0.979,0.016,0.055,0.001,0.938,0.006
116,"The last number I saw, I think it looks like it's picked up maybe about 8% on a volume basis, higher on a dollar basis because you've got devices obviously which contribute to the dollar sales there",1-Neutral,3-Uncertain,0.991,0.003,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.021,0.924,0.055,0.1,0.018,0.149,0.733
117,"So as the technology gets better in vapor and those products become more acceptable to the consumer, we continue to see high trial and there is some stickiness as the products get better",2-Positive,0-Confident,0.006,0.003,0.001,0.978,0.002,0.0,0.001,0.001,0.001,0.002,0.005,0.04,0.051,0.909,0.821,0.008,0.109,0.062
118,So I think that's one of our key platforms for our innovative products and we're excited about the chance to continue to grow that business,1-Neutral,3-Uncertain,0.005,0.003,0.001,0.976,0.003,0.001,0.001,0.001,0.001,0.003,0.005,0.026,0.884,0.09,0.064,0.012,0.033,0.891
119,Thanks for calling,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.994,0.005,0.035,0.001,0.961,0.003
120,"Hi, Michael",1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.992,0.004,0.001,0.995,0.004,0.034,0.001,0.962,0.003
121,Sure,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.992,0.004,0.001,0.995,0.005,0.031,0.001,0.965,0.003
122,"First of all, I think the timelines that you called out are correct, and those haven't changed since our last discussion on that",1-Neutral,3-Uncertain,0.021,0.017,0.009,0.064,0.009,0.004,0.014,0.011,0.003,0.084,0.763,0.007,0.954,0.039,0.133,0.015,0.279,0.573
123,"And as you point out, they are nominal, to use that word, I guess, at the FDA",1-Neutral,2-NIL,0.007,0.056,0.036,0.538,0.013,0.007,0.013,0.014,0.005,0.025,0.288,0.007,0.965,0.028,0.145,0.006,0.783,0.065
124,"But I think that they're working hard on it; those are PMI applications, of course, it's assisted by us so you may want to speak to them as well about it",1-Neutral,3-Uncertain,0.006,0.014,0.02,0.022,0.028,0.008,0.021,0.015,0.005,0.046,0.816,0.007,0.971,0.021,0.083,0.016,0.088,0.813
125,"But we've been encouraged by the degree of interchange on those applications and I think maybe another milestone to be watching for is if there were to be a TPSAC hearing on the applications, Michael, which as you know, is part of the process",1-Neutral,3-Uncertain,0.014,0.143,0.095,0.074,0.078,0.02,0.028,0.034,0.012,0.029,0.473,0.032,0.901,0.067,0.074,0.014,0.043,0.869
126,"And so PMI, with our assistance, is getting ready for all those things and we are working really hard to be ready so that when that authorization comes, as we hope it does, that we can get to market quickly",2-Positive,0-Confident,0.018,0.061,0.066,0.073,0.224,0.032,0.029,0.031,0.012,0.021,0.433,0.039,0.394,0.567,0.596,0.016,0.26,0.129
127,But I think your understanding of the process is correct and I don't really have anything new to add except perhaps the possibility of a TPSAC hearing should they announce one,1-Neutral,3-Uncertain,0.01,0.244,0.109,0.067,0.045,0.019,0.024,0.031,0.012,0.023,0.414,0.007,0.973,0.02,0.087,0.017,0.105,0.792
128,"Hi, Matt",1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.992,0.004,0.001,0.995,0.005,0.034,0.001,0.962,0.003
129,"No, we haven't",1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.992,0.004,0.001,0.992,0.007,0.042,0.001,0.954,0.003
130,"Although we're following it closely, because obviously we've been following other people's reporting on that",1-Neutral,0-Confident,0.003,0.007,0.005,0.011,0.007,0.005,0.01,0.009,0.003,0.346,0.595,0.014,0.781,0.205,0.914,0.002,0.064,0.02
131,And we've been following the C-store dynamics,1-Neutral,2-NIL,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.987,0.008,0.006,0.927,0.067,0.116,0.001,0.879,0.004
132,"It just hasn't shown up in our category, Matt",1-Neutral,2-NIL,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.0,0.967,0.024,0.002,0.979,0.019,0.094,0.001,0.9,0.004
133,Thanks for calling,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.994,0.005,0.035,0.001,0.961,0.003
134,"Hi, Bonnie",1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.992,0.004,0.001,0.994,0.005,0.033,0.001,0.963,0.003
135,Sure,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.992,0.004,0.001,0.995,0.005,0.031,0.001,0.965,0.003
136,So this is another topic that we're going to cover in some detail next week,1-Neutral,0-Confident,0.003,0.006,0.004,0.014,0.005,0.003,0.008,0.005,0.002,0.531,0.419,0.022,0.595,0.383,0.717,0.004,0.218,0.061
137,"So I don't want to put you off on your question but I'll give you a high-level sort of a lead-in, if you will",1-Neutral,2-NIL,0.007,0.02,0.009,0.014,0.014,0.006,0.017,0.013,0.003,0.075,0.821,0.004,0.974,0.023,0.334,0.016,0.458,0.193
138,"There's quite a lot to do, obviously, as you know of any nicotine standard or any other standard, for that matter",1-Neutral,2-NIL,0.007,0.031,0.017,0.204,0.012,0.005,0.016,0.014,0.004,0.024,0.667,0.035,0.898,0.067,0.213,0.009,0.685,0.093
139,"Wherever to be implemented, there has to be science and evidence-based, and in the nicotine area there's a lot of science that would have to be answered, so let me just call out a few for instance",1-Neutral,0-Confident,0.007,0.034,0.023,0.411,0.015,0.004,0.016,0.013,0.004,0.015,0.458,0.023,0.841,0.136,0.561,0.014,0.312,0.113
140,"So I think folks are going to have to understand how consumers might react to a nicotine standard, including the question of whether compensation would occur, because you obviously, from a public health point of view, wouldn't want people smoking more cigarettes to get their nicotine",1-Neutral,3-Uncertain,0.007,0.067,0.088,0.342,0.025,0.008,0.018,0.019,0.007,0.026,0.394,0.022,0.947,0.032,0.069,0.014,0.046,0.871
141,There is no standard that is currently developed with respect to what the level should be or where it should be measured – is it in the aerosol or is it in the filler?,1-Neutral,3-Uncertain,0.009,0.021,0.015,0.463,0.007,0.004,0.015,0.011,0.004,0.064,0.387,0.049,0.832,0.119,0.302,0.024,0.249,0.425
142,How would it be implemented?,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.993,0.006,0.036,0.001,0.959,0.004
143,Would it phased in over time or would it be done on a more immediate basis?,1-Neutral,2-NIL,0.004,0.011,0.014,0.023,0.016,0.006,0.016,0.013,0.003,0.029,0.864,0.019,0.725,0.256,0.191,0.004,0.779,0.026
144,Those are questions which have to be answered that are not answered yet; and the government has research going on that regard,1-Neutral,0-Confident,0.004,0.008,0.009,0.037,0.011,0.005,0.013,0.011,0.003,0.041,0.859,0.007,0.949,0.044,0.715,0.005,0.249,0.031
145,"As you might expect, our scientists are fully engaged in all the scientific questions, both tracking government research as well as doing our own research so that we're fully informed on those",1-Neutral,0-Confident,0.01,0.009,0.008,0.077,0.015,0.004,0.015,0.01,0.003,0.046,0.803,0.04,0.621,0.339,0.771,0.007,0.157,0.065
146,"There are big questions around technical achievability, which is an area that you're asking about",1-Neutral,0-Confident,0.003,0.017,0.018,0.077,0.016,0.006,0.017,0.016,0.004,0.027,0.799,0.009,0.901,0.091,0.668,0.005,0.237,0.09
147,"Now, the possibility of a standard around nicotine has been in the statute since 2009, so it won't surprise anyone to know that we have been looking at ways that we might meet any potential standard",2-Positive,0-Confident,0.013,0.103,0.038,0.555,0.017,0.005,0.013,0.014,0.005,0.012,0.225,0.031,0.346,0.623,0.486,0.019,0.157,0.338
148,"You can look at product design, you can look at tobacco leaf treatments, you can look at tobacco seed technologies; most of which are proprietary, so I won't comment beyond them, but I think people should be assured that we have been looking at this",1-Neutral,3-Uncertain,0.003,0.003,0.002,0.962,0.005,0.001,0.002,0.002,0.001,0.006,0.013,0.02,0.929,0.052,0.068,0.013,0.032,0.887
149,"And then finally, I think another area that's going to have to be wrestled with is what about unintended consequences if a standard comes in?",1-Neutral,3-Uncertain,0.013,0.03,0.018,0.07,0.024,0.006,0.032,0.021,0.006,0.011,0.77,0.028,0.906,0.066,0.103,0.015,0.128,0.754
150,We're going to have to make sure that the market still works,1-Neutral,0-Confident,0.01,0.026,0.018,0.013,0.026,0.007,0.019,0.014,0.006,0.178,0.683,0.006,0.948,0.046,0.687,0.002,0.296,0.015
151,"So as you can tell, just from that high-level description, there's quite a lot that has to be wrestled to ground and again we'll talk more about that next week",1-Neutral,2-NIL,0.008,0.015,0.01,0.02,0.017,0.006,0.02,0.013,0.004,0.037,0.851,0.034,0.814,0.152,0.267,0.013,0.597,0.123
152,We're looking forward to seeing you,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.992,0.004,0.001,0.99,0.01,0.087,0.001,0.908,0.004
153,We tried to share that with you on a yearly basis,1-Neutral,2-NIL,0.001,0.003,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.93,0.056,0.006,0.759,0.236,0.102,0.001,0.891,0.006
154,"I think you'll remember, typically at CAGNY, we put up the equity scores",1-Neutral,2-NIL,0.005,0.075,0.062,0.012,0.078,0.03,0.03,0.036,0.016,0.124,0.532,0.005,0.971,0.024,0.107,0.014,0.506,0.373
155,We do an equity study every year,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.002,0.988,0.011,0.044,0.001,0.951,0.004
156,"I believe the last chart we put up, we called out that Marlboro's equity is at least 14 points higher than the next closest competitor, off of an already high base, and that Marlboro's equity has been improving over time",2-Positive,0-Confident,0.237,0.601,0.02,0.007,0.013,0.004,0.007,0.007,0.004,0.014,0.086,0.021,0.127,0.852,0.708,0.01,0.116,0.165
157,"So that work is underway again, and as soon as we have an update to the equity study, I assume that we'll be updating you in due course",1-Neutral,0-Confident,0.003,0.034,0.025,0.038,0.038,0.011,0.02,0.021,0.007,0.08,0.722,0.019,0.861,0.12,0.769,0.005,0.17,0.056
158,"But its equity remains strong, there's no question about it, and you'll see it in the premium price it's able to command",2-Positive,0-Confident,0.011,0.253,0.152,0.018,0.133,0.065,0.024,0.033,0.026,0.065,0.218,0.005,0.13,0.865,0.919,0.002,0.064,0.015
159,"Hey, Nik",1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.992,0.004,0.001,0.995,0.004,0.034,0.001,0.961,0.003
160,"Yeah, we're going to talk about Nat Sherman next week",1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.992,0.004,0.005,0.961,0.034,0.371,0.002,0.616,0.011
161,"Just for precision, we acquired it in January of this year, so it hasn't been quite a year",1-Neutral,2-NIL,0.002,0.014,0.02,0.007,0.022,0.023,0.011,0.011,0.006,0.589,0.295,0.016,0.918,0.066,0.361,0.003,0.619,0.017
162,"I think we just talked about before what we've been doing is getting the product ready, getting the package ready",1-Neutral,3-Uncertain,0.004,0.003,0.002,0.968,0.003,0.001,0.002,0.001,0.001,0.007,0.01,0.016,0.913,0.071,0.097,0.016,0.142,0.746
163,"It's a huge whitespace opportunity for us as you know, Nik, and we've got plans to get that in distribution, and I think it's going to – I think you'll be interested to see what we have on Nat Sherman",1-Neutral,3-Uncertain,0.022,0.024,0.015,0.309,0.234,0.019,0.021,0.019,0.008,0.017,0.311,0.016,0.918,0.066,0.06,0.011,0.027,0.902
164,"For IQOS, well, for sure, when we launch IQOS, it's going to have a lower margin because we're going to be investing in it",1-Neutral,0-Confident,0.153,0.823,0.011,0.002,0.003,0.001,0.001,0.001,0.002,0.001,0.002,0.068,0.53,0.402,0.673,0.003,0.301,0.022
165,"But the idea, over time is, is that when you get to scale obviously, that you could have a nice margin business in IQOS",2-Positive,0-Confident,0.349,0.638,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.019,0.48,0.5,0.729,0.006,0.215,0.05
166,So we're working through all that,1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.984,0.015,0.047,0.001,0.948,0.004
167,We're going to talk about IQOS in some significant detail as well next week,1-Neutral,0-Confident,0.009,0.01,0.007,0.04,0.014,0.005,0.014,0.01,0.003,0.039,0.85,0.095,0.484,0.421,0.908,0.002,0.076,0.015
168,"The answer is yes, Nik",1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.993,0.006,0.039,0.001,0.957,0.004
169,"I think it's a very insightful question, and in fact, our sales team has been working on that project and others",1-Neutral,3-Uncertain,0.987,0.004,0.001,0.002,0.002,0.0,0.0,0.0,0.0,0.002,0.002,0.015,0.893,0.092,0.118,0.016,0.199,0.667
170,"I think as personalization becomes more important to the consumer and particularly with the analytical tools and the data sets that we now have that – take revenue growth management tools, for example, which we've deployed already in the smokeless business and are rolling it out across the rest of the businesses, it allows you the precision to do just that",1-Neutral,3-Uncertain,0.993,0.001,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.001,0.001,0.068,0.782,0.15,0.049,0.01,0.013,0.928
171,It's an excellent question and we're working on it,1-Neutral,2-NIL,0.001,0.002,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.937,0.051,0.006,0.772,0.222,0.099,0.001,0.893,0.007
172,"Okay, I look forward to it",1-Neutral,2-NIL,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.993,0.004,0.001,0.993,0.006,0.04,0.001,0.954,0.005
