,Word,Lemma,POSTag,Shape
1947,to,to,TO,xx
1948,better,better,RBR,xxxx
1949,meet,meet,VB,xxxx
1950,their,-PRON-,PRP$,xxxx
1951,needs,need,NNS,xxxx
1952,"
","
",_SP,"
"
1953,This,this,DT,Xxxx
1954,will,will,MD,xxxx
1955,be,be,VB,xx
1956,fully,fully,RB,xxxx
1957,deployed,deploy,VBN,xxxx
1958,in,in,IN,xx
1959,Q3,Q3,NNP,Xd
1960,.,.,.,.
1961,In,in,IN,Xx
1962,DIY,DIY,NNP,XXX
1963,",",",",",",","
1964,weâ€,weâ€,NNP,xxx€
1965,™,™,CD,™
1966,re,re,IN,xx
1967,equally,equally,RB,xxxx
1968,focused,focus,VBN,xxxx
1969,on,on,IN,xx
1970,improving,improve,VBG,xxxx
1971,our,-PRON-,PRP$,xxx
1972,customer,customer,NN,xxxx
1973,and,and,CC,xxx
1974,team,team,NN,xxxx
1975,member,member,NN,xxxx
1976,experience,experience,NN,xxxx
1977,"
","
",_SP,"
"
1978,Weâ€,Weâ€,NNP,Xxx€
1979,™,™,CD,™
1980,ve,ve,NNP,xx
1981,been,be,VBN,xxxx
1982,running,run,VBG,xxxx
1983,DIY,DIY,NNP,XXX
1984,experience,experience,NN,xxxx
1985,pilots,pilot,NNS,xxxx
1986,in,in,IN,xx
1987,a,a,DT,x
1988,number,number,NN,xxxx
1989,of,of,IN,xx
1990,stores,store,NNS,xxxx
1991,and,and,CC,xxx
1992,markets,market,NNS,xxxx
1993,"
","
",_SP,"
"
1994,These,these,DT,Xxxxx
1995,pilots,pilot,NNS,xxxx
1996,are,be,VBP,xxx
1997,standardizing,standardize,VBG,xxxx
1998,the,the,DT,xxx
1999,in,in,IN,xx
2000,-,-,HYPH,-
2001,store,store,NN,xxxx
2002,customer,customer,NN,xxxx
2003,experience,experience,NN,xxxx
2004,store,store,NN,xxxx
2005,-,-,HYPH,-
2006,by,by,IN,xx
2007,-,-,HYPH,-
2008,store,store,NN,xxxx
2009,and,and,CC,xxx
2010,region,region,NN,xxxx
2011,-,-,HYPH,-
2012,by,by,IN,xx
2013,-,-,HYPH,-
2014,region,region,NN,xxxx
2015,"
","
",_SP,"
"
2016,So,so,RB,Xx
2017,every,every,DT,xxxx
2018,store,store,NN,xxxx
2019,has,have,VBZ,xxx
2020,the,the,DT,xxx
2021,same,same,JJ,xxxx
2022,consistent,consistent,JJ,xxxx
2023,processes,process,NNS,xxxx
2024,",",",",",",","
2025,the,the,DT,xxx
2026,same,same,JJ,xxxx
2027,consistent,consistent,JJ,xxxx
2028,training,training,NN,xxxx
2029,and,and,CC,xxx
2030,the,the,DT,xxx
2031,same,same,JJ,xxxx
2032,consistent,consistent,JJ,xxxx
2033,approach,approach,NN,xxxx
2034,to,to,IN,xx
2035,servicing,service,VBG,xxxx
2036,the,the,DT,xxx
2037,customer,customer,NN,xxxx
2038,"
","
",_SP,"
"
2039,In,in,IN,Xx
2040,addition,addition,NN,xxxx
2041,to,to,IN,xx
2042,making,make,VBG,xxxx
2043,critical,critical,JJ,xxxx
2044,investments,investment,NNS,xxxx
2045,in,in,IN,xx
2046,the,the,DT,xxx
2047,customer,customer,NN,xxxx
2048,to,to,TO,xx
2049,drive,drive,VB,xxxx
2050,growth,growth,NN,xxxx
2051,",",",",",",","
2052,the,the,DT,xxx
2053,second,second,JJ,xxxx
2054,pillar,pillar,NN,xxxx
2055,of,of,IN,xx
2056,Phase,phase,NN,Xxxxx
2057,2,2,CD,d
2058,is,be,VBZ,xx
2059,the,the,DT,xxx
2060,focus,focus,NN,xxxx
2061,on,on,IN,xx
2062,our,-PRON-,PRP$,xxx
2063,robust,robust,JJ,xxxx
2064,productivity,productivity,NN,xxxx
2065,pipeline,pipeline,NN,xxxx
2066,"
","
",_SP,"
"
2067,Since,since,IN,Xxxxx
2068,we,-PRON-,PRP,xx
2069,announced,announce,VBD,xxxx
2070,the,the,DT,xxx
2071,productivity,productivity,NN,xxxx
2072,agenda,agenda,NN,xxxx
2073,and,and,CC,xxx
2074,corresponding,correspond,VBG,xxxx
2075,targets,target,NNS,xxxx
2076,last,last,JJ,xxxx
2077,November,November,NNP,Xxxxx
2078,at,at,IN,xx
2079,our,-PRON-,PRP$,xxx
2080,Analyst,Analyst,NNP,Xxxxx
2081,Day,Day,NNP,Xxx
2082,",",",",",",","
2083,weâ€,weâ€,NNP,xxx€
2084,™,™,CD,™
2085,ve,ve,NNP,xx
2086,been,be,VBN,xxxx
2087,aggressively,aggressively,RB,xxxx
2088,putting,put,VBG,xxxx
2089,the,the,DT,xxx
2090,structure,structure,NN,xxxx
2091,and,and,CC,xxx
2092,leadership,leadership,NN,xxxx
2093,team,team,NN,xxxx
2094,in,in,IN,xx
2095,place,place,NN,xxxx
2096,to,to,TO,xx
2097,execute,execute,VB,xxxx
2098,a,a,DT,x
2099,sustainable,sustainable,JJ,xxxx
2100,multi,multi,JJ,xxxx
2101,-,-,JJ,-
2102,year,year,JJ,xxxx
2103,productivity,productivity,NN,xxxx
2104,program,program,NN,xxxx
2105,"
","
",_SP,"
"
2106,As,as,IN,Xx
2107,we,-PRON-,PRP,xx
2108,said,say,VBD,xxxx
2109,previously,previously,RB,xxxx
2110,",",",",",",","
2111,the,the,DT,xxx
2112,productivity,productivity,NN,xxxx
2113,muscle,muscle,NN,xxxx
2114,simply,simply,RB,xxxx
2115,is,be,VBZ,xx
2116,not,not,RB,xxx
2117,exists,exist,NNS,xxxx
2118,at,at,IN,xx
2119,AAP,AAP,NNP,XXX
2120,"
","
",_SP,"
"
2121,Our,-PRON-,PRP$,Xxx
2122,agenda,agenda,NN,xxxx
2123,includes,include,VBZ,xxxx
2124,thoughtful,thoughtful,JJ,xxxx
2125,planning,planning,NN,xxxx
2126,to,to,TO,xx
2127,change,change,VB,xxxx
2128,the,the,DT,xxx
2129,work,work,NN,xxxx
2130,",",",",",",","
2131,investment,investment,NN,xxxx
2132,and,and,CC,xxx
2133,infrastructure,infrastructure,NN,xxxx
2134,and,and,CC,xxx
2135,people,people,NNS,xxxx
2136,to,to,TO,xx
2137,drive,drive,VB,xxxx
2138,it,-PRON-,PRP,xx
2139,and,and,CC,xxx
2140,an,an,DT,xx
2141,intense,intense,JJ,xxxx
2142,focus,focus,NN,xxxx
2143,on,on,IN,xx
2144,increasing,increase,VBG,xxxx
2145,visibility,visibility,NN,xxxx
2146,and,and,CC,xxx
2147,performance,performance,NN,xxxx
2148,management,management,NN,xxxx
2149,of,of,IN,xx
2150,costs,cost,NNS,xxxx
2151,"
","
",_SP,"
"
2152,Our,-PRON-,PRP$,Xxx
2153,new,new,JJ,xxx
2154,leadership,leadership,NN,xxxx
2155,team,team,NN,xxxx
2156,has,have,VBZ,xxx
2157,been,be,VBN,xxxx
2158,instrumental,instrumental,JJ,xxxx
2159,in,in,IN,xx
2160,applying,apply,VBG,xxxx
2161,both,both,DT,xxxx
2162,longstanding,longstanding,JJ,xxxx
2163,experience,experience,NN,xxxx
2164,and,and,CC,xxx
2165,fresh,fresh,JJ,xxxx
2166,perspectives,perspective,NNS,xxxx
2167,to,to,TO,xx
2168,build,build,VB,xxxx
2169,our,-PRON-,PRP$,xxx
2170,productivity,productivity,NN,xxxx
2171,agenda,agenda,NN,xxxx
2172,"
","
",_SP,"
"
2173,As,as,IN,Xx
2174,a,a,DT,x
2175,result,result,NN,xxxx
2176,",",",",",",","
2177,weâ€,weâ€,NN,xxx€
2178,™,™,CD,™
2179,re,re,IN,xx
2180,updating,update,VBG,xxxx
2181,the,the,DT,xxx
2182,target,target,NN,xxxx
2183,we,-PRON-,PRP,xx
2184,shared,share,VBD,xxxx
2185,with,with,IN,xxxx
2186,you,-PRON-,PRP,xxx
2187,last,last,JJ,xxxx
2188,November,November,NNP,Xxxxx
2189,of,of,IN,xx
2190,500,500,CD,ddd
2191,million,million,CD,xxxx
2192,in,in,IN,xx
2193,productivity,productivity,NN,xxxx
2194,over,over,IN,xxxx
2195,five,five,CD,xxxx
2196,years,year,NNS,xxxx
2197,and,and,CC,xxx
2198,we,-PRON-,PRP,xx
2199,now,now,RB,xxx
2200,expect,expect,VBP,xxxx
2201,to,to,TO,xx
2202,achieve,achieve,VB,xxxx
2203,750,750,CD,ddd
2204,million,million,CD,xxxx
2205,in,in,IN,xx
2206,gross,gross,JJ,xxxx
2207,productivity,productivity,NN,xxxx
2208,over,over,IN,xxxx
2209,four,four,CD,xxxx
2210,years,year,NNS,xxxx
2211,",",",",",",","
2212,reflecting,reflect,VBG,xxxx
2213,both,both,CC,xxxx
2214,the,the,DT,xxx
2215,significant,significant,JJ,xxxx
2216,increase,increase,NN,xxxx
2217,and,and,CC,xxx
2218,acceleration,acceleration,NN,xxxx
2219,"
","
",_SP,"
"
2220,Over,over,IN,Xxxx
2221,the,the,DT,xxx
2222,past,past,JJ,xxxx
2223,several,several,JJ,xxxx
2224,months,month,NNS,xxxx
2225,",",",",",",","
2226,weâ€,weâ€,NNP,xxx€
2227,™,™,CD,™
2228,ve,ve,NNP,xx
2229,been,be,VBN,xxxx
2230,aggressively,aggressively,RB,xxxx
2231,challenging,challenge,VBG,xxxx
2232,our,-PRON-,PRP$,xxx
2233,sales,sale,NNS,xxxx
2234,to,to,TO,xx
2235,think,think,VB,xxxx
2236,differently,differently,RB,xxxx
2237,about,about,IN,xxxx
2238,the,the,DT,xxx
2239,work,work,NN,xxxx
2240,and,and,CC,xxx
2241,how,how,WRB,xxx
2242,to,to,TO,xx
2243,thoughtfully,thoughtfully,RB,xxxx
2244,and,and,CC,xxx
2245,permanently,permanently,RB,xxxx
2246,remove,remove,VB,xxxx
2247,waste,waste,NN,xxxx
2248,from,from,IN,xxxx
2249,our,-PRON-,PRP$,xxx
2250,system,system,NN,xxxx
2251,"
","
",_SP,"
"
2252,The,the,DT,Xxx
2253,additional,additional,JJ,xxxx
2254,250,250,CD,ddd
2255,million,million,CD,xxxx
2256,has,have,VBZ,xxx
2257,resulted,result,VBN,xxxx
2258,from,from,IN,xxxx
2259,our,-PRON-,PRP$,xxx
2260,new,new,JJ,xxx
2261,leadership,leadership,NN,xxxx
2262,team,team,NN,xxxx
2263,challenging,challenge,VBG,xxxx
2264,the,the,DT,xxx
2265,status,status,NN,xxxx
2266,quo,quo,NN,xxx
2267,and,and,CC,xxx
2268,will,will,MD,xxxx
2269,allow,allow,VB,xxxx
2270,additional,additional,JJ,xxxx
2271,investments,investment,NNS,xxxx
2272,in,in,IN,xx
2273,our,-PRON-,PRP$,xxx
2274,customers,customer,NNS,xxxx
2275,while,while,IN,xxxx
2276,expanding,expand,VBG,xxxx
2277,margins,margin,NNS,xxxx
2278,"
","
",_SP,"
"
2279,To,to,TO,Xx
2280,be,be,VB,xx
2281,clear,clear,JJ,xxxx
2282,",",",",",",","
2283,the,the,DT,xxx
2284,productivity,productivity,NN,xxxx
2285,target,target,NN,xxxx
2286,is,be,VBZ,xx
2287,not,not,RB,xxx
2288,sales,sale,NNS,xxxx
2289,dependent,dependent,JJ,xxxx
2290,",",",",",",","
2291,itâ€,itâ€,NNP,xxx€
2292,™,™,CD,™
2293,s,s,VBZ,x
2294,a,a,DT,x
2295,gross,gross,JJ,xxxx
2296,number,number,NN,xxxx
2297,and,and,CC,xxx
2298,some,some,DT,xxxx
2299,of,of,IN,xx
2300,this,this,DT,xxxx
2301,cost,cost,NN,xxxx
2302,benefit,benefit,NN,xxxx
2303,will,will,MD,xxxx
2304,be,be,VB,xx
2305,used,use,VBN,xxxx
2306,to,to,TO,xx
2307,fund,fund,VB,xxxx
2308,growth,growth,NN,xxxx
2309,initiatives,initiative,NNS,xxxx
2310,",",",",",",","
2311,while,while,IN,xxxx
2312,the,the,DT,xxx
2313,vast,vast,JJ,xxxx
2314,majority,majority,NN,xxxx
2315,of,of,IN,xx
2316,it,-PRON-,PRP,xx
2317,will,will,MD,xxxx
2318,drive,drive,VB,xxxx
2319,margin,margin,NN,xxxx
2320,improvement,improvement,NN,xxxx
2321,"
","
",_SP,"
"
2322,Our,-PRON-,PRP$,Xxx
2323,productivity,productivity,NN,xxxx
2324,agenda,agenda,NN,xxxx
2325,continues,continue,VBZ,xxxx
2326,to,to,TO,xx
2327,focus,focus,VB,xxxx
2328,on,on,IN,xx
2329,the,the,DT,xxx
2330,three,three,CD,xxxx
2331,pillars,pillar,NNS,xxxx
2332,we,-PRON-,PRP,xx
2333,shared,share,VBD,xxxx
2334,last,last,JJ,xxxx
2335,November,November,NNP,Xxxxx
2336,;,;,:,;
2337,first,first,RB,xxxx
2338,",",",",",",","
2339,zero,zero,CD,xxxx
2340,based,base,VBN,xxxx
2341,budgeting,budgeting,NN,xxxx
2342,or,or,CC,xx
2343,ZBB,ZBB,NNP,XXX
2344,;,;,",",;
2345,second,second,RB,xxxx
2346,",",",",",",","
2347,the,the,DT,xxx
2348,optimization,optimization,NN,xxxx
2349,of,of,IN,xx
2350,our,-PRON-,PRP$,xxx
2351,supply,supply,NN,xxxx
2352,China,China,NNP,Xxxxx
2353,;,;,:,;
2354,and,and,CC,xxx
2355,third,third,JJ,xxxx
2356,reducing,reduce,VBG,xxxx
2357,material,material,NN,xxxx
2358,input,input,NN,xxxx
2359,costs,cost,NNS,xxxx
2360,"
","
",_SP,"
"
2361,Weâ€,weâ€,NN,Xxx€
2362,™,™,CD,™
2363,re,re,NN,xx
2364,very,very,RB,xxxx
2365,excited,excited,JJ,xxxx
2366,about,about,IN,xxxx
2367,this,this,DT,xxxx
2368,work,work,NN,xxxx
2369,"
","
",_SP,"
"
2370,Allow,allow,VB,Xxxxx
2371,me,-PRON-,PRP,xx
2372,to,to,TO,xx
2373,share,share,VB,xxxx
2374,some,some,DT,xxxx
2375,examples,example,NNS,xxxx
2376,"
","
",_SP,"
"
2377,First,first,RB,Xxxxx
2378,",",",",",",","
2379,on,on,IN,xx
2380,ZBB,ZBB,NNP,XXX
2381,",",",",",",","
2382,weâ€,weâ€,NNP,xxx€
2383,™,™,CD,™
2384,re,re,IN,xx
2385,standardizing,standardize,VBG,xxxx
2386,our,-PRON-,PRP$,xxx
2387,first,first,JJ,xxxx
2388,to,to,TO,xx
2389,cost,cost,VB,xxxx
2390,control,control,NN,xxxx
2391,while,while,IN,xxxx
2392,eliminating,eliminate,VBG,xxxx
2393,redundancies,redundancy,NNS,xxxx
2394,and,and,CC,xxx
2395,unproductive,unproductive,JJ,xxxx
2396,spending,spending,NN,xxxx
2397,"
","
",_SP,"
"
2398,There,there,EX,Xxxxx
2399,are,be,VBP,xxx
2400,substantial,substantial,JJ,xxxx
2401,opportunities,opportunity,NNS,xxxx
2402,here,here,RB,xxxx
2403,throughout,throughout,IN,xxxx
2404,the,the,DT,xxx
2405,Company,company,NN,Xxxxx
2406,"
","
",_SP,"
"
2407,Our,-PRON-,PRP$,Xxx
2408,ZBB,ZBB,NNP,XXX
2409,agenda,agenda,NN,xxxx
2410,includes,include,VBZ,xxxx
2411,fundamental,fundamental,JJ,xxxx
2412,process,process,NN,xxxx
2413,redesign,redesign,NN,xxxx
2414,",",",",",",","
2415,policy,policy,NN,xxxx
2416,changes,change,NNS,xxxx
2417,and,and,CC,xxx
2418,a,a,DT,x
2419,complete,complete,JJ,xxxx
2420,rethink,rethink,NN,xxxx
2421,of,of,IN,xx
2422,how,how,WRB,xxx
2423,work,work,NN,xxxx
2424,itâ€,itâ€,VBD,xxx€
2425,™,™,CD,™
2426,s,s,POS,x
2427,done,do,VBN,xxxx
2428,"
","
",_SP,"
"
2429,This,this,DT,Xxxx
2430,has,have,VBZ,xxx
2431,been,be,VBN,xxxx
2432,completed,complete,VBN,xxxx
2433,in,in,IN,xx
2434,many,many,JJ,xxxx
2435,areas,area,NNS,xxxx
2436,throughout,throughout,IN,xxxx
2437,the,the,DT,xxx
2438,Company,company,NN,Xxxxx
2439,",",",",",",","
2440,and,and,CC,xxx
2441,we,-PRON-,PRP,xx
2442,expect,expect,VBP,xxxx
2443,to,to,TO,xx
2444,realize,realize,VB,xxxx
2445,cost,cost,NN,xxxx
2446,savings,saving,NNS,xxxx
2447,from,from,IN,xxxx
2448,this,this,DT,xxxx
2449,in,in,IN,xx
2450,the,the,DT,xxx
2451,back,back,JJ,xxxx
2452,half,half,NN,xxxx
2453,of,of,IN,xx
2454,2017,2017,CD,dddd
2455,.,.,.,.
2456,Second,second,RB,Xxxxx
2457,",",",",",",","
2458,the,the,DT,xxx
2459,simplification,simplification,NN,xxxx
2460,and,and,CC,xxx
2461,optimization,optimization,NN,xxxx
2462,of,of,IN,xx
2463,our,-PRON-,PRP$,xxx
2464,supply,supply,NN,xxxx
2465,chain,chain,NN,xxxx
2466,will,will,MD,xxxx
2467,drive,drive,VB,xxxx
2468,both,both,DT,xxxx
2469,effectiveness,effectiveness,NN,xxxx
2470,and,and,CC,xxx
2471,efficiencies,efficiency,NNS,xxxx
2472,"
","
",_SP,"
"
2473,We,-PRON-,PRP,Xx
2474,are,be,VBP,xxx
2475,looking,look,VBG,xxxx
2476,at,at,IN,xx
2477,our,-PRON-,PRP$,xxx
2478,supply,supply,NN,xxxx
2479,chain,chain,NN,xxxx
2480,very,very,RB,xxxx
2481,differently,differently,RB,xxxx
2482,than,than,IN,xxxx
2483,we,-PRON-,PRP,xx
2484,have,have,VBP,xxxx
2485,in,in,IN,xx
2486,the,the,DT,xxx
2487,past,past,NN,xxxx
2488,"
","
",_SP,"
"
2489,Weâ€,weâ€,NN,Xxx€
2490,™,™,CD,™
2491,re,re,IN,xx
2492,starting,start,VBG,xxxx
2493,with,with,IN,xxxx
2494,the,the,DT,xxx
2495,customer,customer,NN,xxxx
2496,and,and,CC,xxx
2497,working,work,VBG,xxxx
2498,back,back,RB,xxxx
2499,to,to,TO,xx
2500,better,better,RBR,xxxx
2501,meet,meet,VB,xxxx
2502,their,-PRON-,PRP$,xxxx
2503,needs,need,NNS,xxxx
2504,while,while,IN,xxxx
2505,leveraging,leverage,VBG,xxxx
2506,the,the,DT,xxx
2507,formidable,formidable,JJ,xxxx
2508,footprint,footprint,NN,xxxx
2509,we,-PRON-,PRP,xx
2510,enjoy,enjoy,VBP,xxxx
2511,today,today,NN,xxxx
2512,"
","
",_SP,"
"
2513,In,in,IN,Xx
2514,doing,do,VBG,xxxx
2515,so,so,RB,xx
2516,",",",",",",","
2517,weâ€,weâ€,NNP,xxx€
2518,™,™,CD,™
2519,re,re,NN,xx
2520,building,build,VBG,xxxx
2521,new,new,JJ,xxx
2522,capabilities,capability,NNS,xxxx
2523,and,and,CC,xxx
2524,leveraging,leverage,VBG,xxxx
2525,the,the,DT,xxx
2526,entirety,entirety,NN,xxxx
2527,of,of,IN,xx
2528,our,-PRON-,PRP$,xxx
2529,asset,asset,NN,xxxx
2530,base,base,NN,xxxx
2531,"
","
",_SP,"
"
2532,The,the,DT,Xxx
2533,great,great,JJ,xxxx
2534,news,news,NN,xxxx
2535,here,here,RB,xxxx
2536,is,be,VBZ,xx
2537,that,that,IN,xxxx
2538,this,this,DT,xxxx
2539,approach,approach,NN,xxxx
2540,provides,provide,VBZ,xxxx
2541,the,the,DT,xxx
2542,dual,dual,JJ,xxxx
2543,benefit,benefit,NN,xxxx
2544,of,of,IN,xx
2545,new,new,JJ,xxx
2546,capabilities,capability,NNS,xxxx
2547,and,and,CC,xxx
2548,productivity,productivity,NN,xxxx
2549,without,without,IN,xxxx
2550,requiring,require,VBG,xxxx
2551,additional,additional,JJ,xxxx
2552,investment,investment,NN,xxxx
2553,in,in,IN,xx
2554,new,new,JJ,xxx
2555,buildings,building,NNS,xxxx
2556,"
","
",_SP,"
"
2557,As,as,IN,Xx
2558,an,an,DT,xx
2559,example,example,NN,xxxx
2560,of,of,IN,xx
2561,supply,supply,NN,xxxx
2562,chain,chain,NN,xxxx
2563,optimization,optimization,NN,xxxx
2564,",",",",",",","
2565,weâ€,weâ€,NNP,xxx€
2566,™,™,CD,™
2567,ve,ve,NNP,xx
2568,already,already,RB,xxxx
2569,consolidated,consolidated,JJ,xxxx
2570,fleet,fleet,NNP,xxxx
2571,management,management,NN,xxxx
2572,companies,company,NNS,xxxx
2573,",",",",",",","
2574,transitioning,transition,VBG,xxxx
2575,from,from,IN,xxxx
2576,three,three,CD,xxxx
2577,partners,partner,NNS,xxxx
2578,to,to,IN,xx
2579,one,one,CD,xxx
2580,"
","
",_SP,"
"
2581,Previously,previously,RB,Xxxxx
2582,",",",",",",","
2583,Advance,Advance,NNP,Xxxxx
2584,",",",",",",","
2585,Worldpac,Worldpac,NNP,Xxxxx
2586,and,and,CC,xxx
2587,Auto,Auto,NNP,Xxxx
2588,Part,Part,NNP,Xxxx
2589,International,International,NNP,Xxxxx
2590,negotiated,negotiate,VBD,xxxx
2591,three,three,CD,xxxx
2592,contracts,contract,NNS,xxxx
2593,separately,separately,RB,xxxx
2594,",",",",",",","
2595,which,which,WDT,xxxx
2596,resulted,result,VBD,xxxx
2597,in,in,IN,xx
2598,three,three,CD,xxxx
2599,different,different,JJ,xxxx
2600,suppliers,supplier,NNS,xxxx
2601,and,and,CC,xxx
2602,three,three,CD,xxxx
2603,different,different,JJ,xxxx
2604,contracts,contract,NNS,xxxx
2605,"
","
",_SP,"
"
2606,Weâ€,weâ€,NN,Xxx€
2607,™,™,CD,™
2608,re,re,NN,xx
2609,moving,move,VBG,xxxx
2610,to,to,IN,xx
2611,one,one,CD,xxx
2612,"
","
",_SP,"
"
2613,In,in,IN,Xx
2614,addition,addition,NN,xxxx
2615,to,to,IN,xx
2616,significant,significant,JJ,xxxx
2617,savings,saving,NNS,xxxx
2618,",",",",",",","
2619,AAP,AAP,NNP,XXX
2620,will,will,MD,xxxx
2621,benefit,benefit,VB,xxxx
2622,from,from,IN,xxxx
2623,enhanced,enhanced,JJ,xxxx
2624,analytics,analytic,NNS,xxxx
2625,and,and,CC,xxx
2626,coordination,coordination,NN,xxxx
2627,across,across,IN,xxxx
2628,our,-PRON-,PRP$,xxx
2629,entire,entire,JJ,xxxx
2630,fleet,fleet,NN,xxxx
2631,associated,associate,VBN,xxxx
2632,with,with,IN,xxxx
2633,having,have,VBG,xxxx
2634,a,a,DT,x
2635,single,single,JJ,xxxx
2636,dedicated,dedicated,JJ,xxxx
2637,partner,partner,NN,xxxx
2638,"
","
",_SP,"
"
2639,This,this,DT,Xxxx
2640,is,be,VBZ,xx
2641,a,a,DT,x
2642,material,material,JJ,xxxx
2643,simplification,simplification,NN,xxxx
2644,opportunity,opportunity,NN,xxxx
2645,that,that,WDT,xxxx
2646,leverages,leverage,VBZ,xxxx
2647,scale,scale,VBP,xxxx
2648,",",",",",",","
2649,dramatically,dramatically,RB,xxxx
2650,improves,improve,VBZ,xxxx
2651,asset,asset,NN,xxxx
2652,utilization,utilization,NN,xxxx
2653,and,and,CC,xxx
2654,lowers,lower,NNS,xxxx
2655,cost,cost,VBP,xxxx
2656,"
","
",_SP,"
"
2657,Third,third,RB,Xxxxx
2658,",",",",",",","
2659,let,let,VB,xxx
2660,'s,-PRON-,PRP,'x
2661,talk,talk,VB,xxxx
2662,material,material,NN,xxxx
2663,input,input,NN,xxxx
2664,costs,cost,NNS,xxxx
2665,",",",",",",","
2666,again,again,RB,xxxx
2667,weâ€,weâ€,NN,xxx€
2668,™,™,CD,™
2669,re,re,IN,xx
2670,taking,take,VBG,xxxx
2671,a,a,DT,x
2672,very,very,RB,xxxx
2673,different,different,JJ,xxxx
2674,approach,approach,NN,xxxx
2675,been,be,VBN,xxxx
2676,in,in,IN,xx
2677,the,the,DT,xxx
2678,past,past,NN,xxxx
2679,"
","
",_SP,"
"
2680,Weâ€,weâ€,NN,Xxx€
2681,™,™,CD,™
2682,re,re,IN,xx
2683,conducting,conduct,VBG,xxxx
2684,deep,deep,JJ,xxxx
2685,dives,dive,NNS,xxxx
2686,on,on,IN,xx
2687,product,product,NN,xxxx
2688,categories,category,NNS,xxxx
2689,to,to,TO,xx
2690,better,better,RBR,xxxx
2691,understand,understand,VB,xxxx
2692,the,the,DT,xxx
2693,material,material,JJ,xxxx
2694,cost,cost,NN,xxxx
2695,of,of,IN,xx
2696,the,the,DT,xxx
2697,skews,skew,NNS,xxxx
2698,in,in,IN,xx
2699,our,-PRON-,PRP$,xxx
2700,assortment,assortment,NN,xxxx
2701,and,and,CC,xxx
2702,what,what,WP,xxxx
2703,type,type,NN,xxxx
2704,of,of,IN,xx
2705,collaborative,collaborative,JJ,xxxx
2706,value,value,NN,xxxx
2707,engineering,engineering,NN,xxxx
2708,we,-PRON-,PRP,xx
2709,can,can,MD,xxx
2710,do,do,VB,xx
2711,with,with,IN,xxxx
2712,our,-PRON-,PRP$,xxx
2713,suppliers,supplier,NNS,xxxx
2714,or,or,CC,xx
2715,brand,brand,NN,xxxx
2716,partners,partner,NNS,xxxx
2717,as,as,IN,xx
2718,we,-PRON-,PRP,xx
2719,now,now,RB,xxx
2720,refer,refer,VBP,xxxx
2721,them,-PRON-,PRP,xxxx
2722,",",",",",",","
2723,who,who,WP,xxx
2724,are,be,VBP,xxx
2725,helping,help,VBG,xxxx
2726,us,-PRON-,PRP,xx
2727,find,find,VB,xxxx
2728,the,the,DT,xxx
2729,wins,win,NNS,xxxx
2730,both,both,DT,xxxx
2731,of,of,IN,xx
2732,us,-PRON-,PRP,xx
2733,need,need,VBP,xxxx
2734,to,to,TO,xx
2735,drive,drive,VB,xxxx
2736,accelerated,accelerated,JJ,xxxx
2737,growth,growth,NN,xxxx
2738,"
","
",_SP,"
"
2739,This,this,DT,Xxxx
2740,work,work,NN,xxxx
2741,has,have,VBZ,xxx
2742,already,already,RB,xxxx
2743,been,be,VBN,xxxx
2744,conducted,conduct,VBN,xxxx
2745,on,on,IN,xx
2746,several,several,JJ,xxxx
2747,product,product,NN,xxxx
2748,categories,category,NNS,xxxx
2749,",",",",",",","
2750,resulting,result,VBG,xxxx
2751,in,in,IN,xx
2752,increased,increase,VBN,xxxx
2753,cost,cost,NN,xxxx
2754,transparency,transparency,NN,xxxx
2755,and,and,CC,xxx
2756,an,an,DT,xx
2757,improved,improve,VBN,xxxx
2758,material,material,NN,xxxx
2759,cost,cost,NN,xxxx
2760,structure,structure,NN,xxxx
2761,"
","
",_SP,"
"
2762,We,-PRON-,PRP,Xx
2763,are,be,VBP,xxx
2764,working,work,VBG,xxxx
2765,with,with,IN,xxxx
2766,our,-PRON-,PRP$,xxx
2767,suppliers,supplier,NNS,xxxx
2768,and,and,CC,xxx
2769,partnership,partnership,NN,xxxx
2770,to,to,TO,xx
2771,apply,apply,VB,xxxx
2772,this,this,DT,xxxx
2773,rigor,rigor,NN,xxxx
2774,n,n,NN,x
2775,process,process,NN,xxxx
2776,across,across,IN,xxxx
2777,many,many,JJ,xxxx
2778,categories,category,NNS,xxxx
2779,throughout,throughout,IN,xxxx
2780,the,the,DT,xxx
2781,balance,balance,NN,xxxx
2782,of,of,IN,xx
2783,the,the,DT,xxx
2784,year,year,NN,xxxx
2785,"
","
",_SP,"
"
2786,To,to,IN,Xx
2787,-,-,HYPH,-
2788,date,date,NN,xxxx
2789,",",",",",",","
2790,weâ€,weâ€,NNP,xxx€
2791,™,™,CD,™
2792,ve,ve,NNP,xx
2793,been,be,VBN,xxxx
2794,building,build,VBG,xxxx
2795,the,the,DT,xxx
2796,foundational,foundational,JJ,xxxx
2797,elements,element,NNS,xxxx
2798,of,of,IN,xx
2799,our,-PRON-,PRP$,xxx
2800,productivity,productivity,NN,xxxx
2801,agenda,agenda,NN,xxxx
2802,and,and,CC,xxx
2803,have,have,VBP,xxxx
2804,a,a,DT,x
2805,high,high,JJ,xxxx
2806,degree,degree,NN,xxxx
2807,of,of,IN,xx
2808,confidence,confidence,NN,xxxx
2809,in,in,IN,xx
2810,our,-PRON-,PRP$,xxx
2811,plan,plan,NN,xxxx
